
Scoring long reads

  254 reads (486,969 bp)
  487 reads (971,087 bp)
  732 reads (1,457,895 bp)
  960 reads (1,944,155 bp)
  1,170 reads (2,428,977 bp)
  1,344 reads (2,913,920 bp)
  32,296 reads (91,843,240 bp)
  32,462 reads (92,329,807 bp)
  32,610 reads (92,814,115 bp)
  32,778 reads (93,299,858 bp)
  32,943 reads (93,786,176 bp)
  33,103 reads (94,271,588 bp)
  33,271 reads (94,756,507 bp)
  33,422 reads (95,241,642 bp)
  33,583 reads (95,728,257 bp)
  33,746 reads (96,214,052 bp)
  33,908 reads (96,698,984 bp)
  34,071 reads (97,185,869 bp)
  34,224 reads (97,670,373 bp)
  34,389 reads (98,158,737 bp)
  34,550 reads (98,643,932 bp)
  34,700 reads (99,136,400 bp)
  34,863 reads (99,631,190 bp)
  35,038 reads (100,116,349 bp)
  35,208 reads (100,600,222 bp)
  35,368 reads (101,091,933 bp)
  35,541 reads (101,576,385 bp)
  35,720 reads (102,060,891 bp)
  35,887 reads (102,544,659 bp)
  36,059 reads (103,030,476 bp)
  36,224 reads (103,517,203 bp)
  36,379 reads (104,003,487 bp)
  36,522 reads (104,510,678 bp)
  36,691 reads (104,995,730 bp)
  36,845 reads (105,481,522 bp)
  36,995 reads (105,969,991 bp)
  37,172 reads (106,454,609 bp)
  37,334 reads (106,939,242 bp)
  37,495 reads (107,425,879 bp)
  37,668 reads (107,909,616 bp)
  37,829 reads (108,393,705 bp)
  38,025 reads (108,878,298 bp)
  38,190 reads (109,371,274 bp)
  38,368 reads (109,856,184 bp)
  38,525 reads (110,339,917 bp)
  38,703 reads (110,824,798 bp)
  38,872 reads (111,309,761 bp)
  39,051 reads (111,794,892 bp)
  39,229 reads (112,279,655 bp)
  39,417 reads (112,767,966 bp)
  39,577 reads (113,253,486 bp)
  39,738 reads (113,744,028 bp)
  39,887 reads (114,230,594 bp)
  40,048 reads (114,720,935 bp)
  40,214 reads (115,204,736 bp)
  40,351 reads (115,693,151 bp)
  40,517 reads (116,177,781 bp)
  40,692 reads (116,663,988 bp)
  40,851 reads (117,148,559 bp)
  41,019 reads (117,642,983 bp)
  41,176 reads (118,127,964 bp)
  41,332 reads (118,613,275 bp)
  41,485 reads (119,096,938 bp)
  41,660 reads (119,580,976 bp)
  41,829 reads (120,065,952 bp)
  42,000 reads (120,551,469 bp)
  42,155 reads (121,035,089 bp)
  42,329 reads (121,518,915 bp)
  42,487 reads (122,002,683 bp)
  42,645 reads (122,488,279 bp)
  42,817 reads (122,974,257 bp)
  43,000 reads (123,463,632 bp)
  43,154 reads (123,951,666 bp)
  43,322 reads (124,436,005 bp)
