
Scoring long reads

  371 reads (483,942 bp)
  693 reads (967,855 bp)
  925 reads (1,451,626 bp)
  1,117 reads (1,936,664 bp)
  1,337 reads (2,423,771 bp)
  33,601 reads (91,881,532 bp)
  33,784 reads (92,365,486 bp)
  33,947 reads (92,853,468 bp)
  34,108 reads (93,337,452 bp)
  34,282 reads (93,822,093 bp)
  34,461 reads (94,309,688 bp)
  34,637 reads (94,794,215 bp)
  34,799 reads (95,279,729 bp)
  34,983 reads (95,764,540 bp)
  35,152 reads (96,249,398 bp)
  35,345 reads (96,733,101 bp)
  35,501 reads (97,220,851 bp)
  35,673 reads (97,705,279 bp)
  35,855 reads (98,198,814 bp)
  36,019 reads (98,685,501 bp)
  36,189 reads (99,170,390 bp)
  36,334 reads (99,659,163 bp)
  36,484 reads (100,144,102 bp)
  36,648 reads (100,639,792 bp)
  36,821 reads (101,125,996 bp)
  37,010 reads (101,612,409 bp)
  37,120 reads (102,100,569 bp)
  37,270 reads (102,585,467 bp)
  37,510 reads (103,070,875 bp)
  37,802 reads (103,558,521 bp)
  38,105 reads (104,042,903 bp)
  38,280 reads (104,528,922 bp)
  38,462 reads (105,025,512 bp)
  38,647 reads (105,515,507 bp)
  38,817 reads (105,999,364 bp)
  38,992 reads (106,483,383 bp)
  39,147 reads (106,979,162 bp)
  39,335 reads (107,466,964 bp)
  39,529 reads (107,951,760 bp)
  39,731 reads (108,439,099 bp)
  39,868 reads (108,926,658 bp)
  40,049 reads (109,415,935 bp)
  40,205 reads (109,903,184 bp)
  40,385 reads (110,387,000 bp)
  40,552 reads (110,870,698 bp)
  40,708 reads (111,375,943 bp)
  40,872 reads (111,859,985 bp)
  41,056 reads (112,351,104 bp)
  41,216 reads (112,836,460 bp)
  41,401 reads (113,325,095 bp)
  41,608 reads (113,809,261 bp)
  41,780 reads (114,296,697 bp)
  41,932 reads (114,780,447 bp)
  42,121 reads (115,270,637 bp)
  42,314 reads (115,756,652 bp)
  42,478 reads (116,241,307 bp)
  42,649 reads (116,727,369 bp)
  42,815 reads (117,221,980 bp)
  42,990 reads (117,705,875 bp)
  43,190 reads (118,191,960 bp)
  43,357 reads (118,676,608 bp)
  43,531 reads (119,162,685 bp)
  43,710 reads (119,648,405 bp)
  43,899 reads (120,140,518 bp)
  44,071 reads (120,628,179 bp)
  44,261 reads (121,116,931 bp)
  44,476 reads (121,604,298 bp)
  44,660 reads (122,088,925 bp)
  44,843 reads (122,574,699 bp)
  45,031 reads (123,061,042 bp)
  45,228 reads (123,546,897 bp)
  45,446 reads (124,030,531 bp)
  45,631 reads (124,514,768 bp)
  45,831 reads (125,000,177 bp)
  46,038 reads (125,485,496 bp)
  46,274 reads (125,979,383 bp)
  46,491 reads (126,464,283 bp)
  46,697 reads (126,950,900 bp)
  46,897 reads (127,440,479 bp)
  47,085 reads (127,924,631 bp)
  47,274 reads (128,409,909 bp)
  47,463 reads (128,895,890 bp)
  47,673 reads (129,380,113 bp)
  47,877 reads (129,863,731 bp)
  48,059 reads (130,347,664 bp)
  48,229 reads (130,834,683 bp)
  48,407 reads (131,322,394 bp)
  48,596 reads (131,814,262 bp)
  48,770 reads (132,298,000 bp)
  48,941 reads (132,789,101 bp)
  49,106 reads (133,277,946 bp)
  49,269 reads (133,762,163 bp)
  49,455 reads (134,248,763 bp)
  49,621 reads (134,742,397 bp)
  49,800 reads (135,228,069 bp)
  49,977 reads (135,713,037 bp)
  50,150 reads (136,202,507 bp)
  50,328 reads (136,686,982 bp)
  50,499 reads (137,172,924 bp)
  50,677 reads (137,659,926 bp)
  50,846 reads (138,145,054 bp)
  51,036 reads (138,629,325 bp)
  51,202 reads (139,114,185 bp)
  51,402 reads (139,597,971 bp)
